Iron Ore - Monthly Price,,
Month,Price,Change
Jan-04,37.9,-
Feb-04,37.9,0.00%
Mar-04,37.9,0.00%
Apr-04,37.9,0.00%
May-04,37.9,0.00%
Jun-04,37.9,0.00%
Jul-04,37.9,0.00%
Aug-04,37.9,0.00%
Sep-04,37.9,0.00%
Oct-04,37.9,0.00%
Nov-04,37.9,0.00%
Dec-04,37.9,0.00%
Jan-05,65,71.50%
Feb-05,65,0.00%
Mar-05,65,0.00%
Apr-05,65,0.00%
May-05,65,0.00%
Jun-05,65,0.00%
Jul-05,65,0.00%
Aug-05,65,0.00%
Sep-05,65,0.00%
Oct-05,65,0.00%
Nov-05,65,0.00%
Dec-05,65,0.00%
Jan-06,67.2,3.38%
Feb-06,65.2,-2.98%
Mar-06,66.7,2.30%
Apr-06,67.3,0.90%
May-06,67.3,0.00%
Jun-06,69.3,2.97%
Jul-06,70.5,1.73%
Aug-06,69.8,-0.99%
Sep-06,70,0.29%
Oct-06,71.7,2.43%
Nov-06,73.5,2.51%
Dec-06,73.5,0.00%
Jan-07,78.2,6.39%
Feb-07,82.66,5.70%
Mar-07,88.55,7.13%
Apr-07,91.26,3.06%
May-07,102.02,11.79%
Jun-07,103.21,1.17%
Jul-07,106.09,2.79%
Aug-07,121.89,14.89%
Sep-07,148.65,21.95%
Oct-07,168.11,13.09%
Nov-07,195.09,16.05%
Dec-07,190.12,-2.55%
Jan-08,193.37,1.71%
Feb-08,186.12,-3.75%
Mar-08,197.12,5.91%
Apr-08,195.95,-0.59%
May-08,192.95,-1.53%
Jun-08,183.93,-4.67%
Jul-08,180.5,-1.86%
Aug-08,178.74,-0.98%
Sep-08,139.64,-21.88%
Oct-08,88.67,-36.50%
Nov-08,64.95,-26.75%
Dec-08,69.98,7.74%
Jan-09,72.51,3.62%
Feb-09,75.59,4.25%
Mar-09,64.07,-15.24%
Apr-09,59.78,-6.70%
May-09,62.69,4.87%
Jun-09,71.66,14.31%
Jul-09,83.95,17.15%
Aug-09,97.67,16.34%
Sep-09,80.71,-17.36%
Oct-09,86.79,7.53%
Nov-09,99.26,14.37%
Dec-09,105.07,5.85%
Jan-10,125.72,19.65%
Feb-10,127.49,1.41%
Mar-10,139.69,9.57%
Apr-10,172.47,23.47%
May-10,161.35,-6.45%
Jun-10,143.63,-10.98%
Jul-10,126.36,-12.02%
Aug-10,145.34,15.02%
Sep-10,140.63,-3.24%
Oct-10,148.48,5.58%
Nov-10,156.1,5.13%
Dec-10,163.1,4.48%
Jan-11,179.18,9.86%
Feb-11,187.18,4.46%
Mar-11,169.36,-9.52%
Apr-11,179.33,5.89%
May-11,177.05,-1.27%
Jun-11,170.88,-3.48%
Jul-11,172.98,1.23%
Aug-11,177.5,2.61%
Sep-11,177.23,-0.15%
Oct-11,150.43,-15.12%
Nov-11,135.54,-9.90%
Dec-11,136.39,0.63%
Jan-12,140.26,2.84%
Feb-12,140.4,0.10%
Mar-12,144.66,3.03%
Apr-12,147.64,2.06%
May-12,136.61,-7.47%
Jun-12,134.66,-1.43%
Jul-12,127.94,-4.99%
Aug-12,107.5,-15.98%
Sep-12,99.47,-7.47%
Oct-12,113.95,14.56%
Nov-12,120.35,5.62%
Dec-12,128.51,6.78%
Jan-13,150.49,17.10%
Feb-13,154.64,2.76%
Mar-13,139.87,-9.55%
Apr-13,137.39,-1.77%
May-13,124.01,-9.74%
Jun-13,114.82,-7.41%
Jul-13,127.19,10.77%
Aug-13,137.06,7.76%
Sep-13,134.19,-2.09%
Oct-13,132.57,-1.21%
Nov-13,136.32,2.83%
Dec-13,135.79,-0.39%
Jan-14,128.12,-5.65%
Feb-14,121.37,-5.27%
Mar-14,111.83,-7.86%
Apr-14,114.58,2.46%
May-14,100.56,-12.24%
Jun-14,92.74,-7.78%
Jul-14,96.05,3.57%
Aug-14,92.61,-3.58%
Sep-14,82.38,-11.05%
Oct-14,81.06,-1.60%
Nov-14,73.73,-9.04%
Dec-14,68.39,-7.24%
Jan-15,68.23,-0.23%
Feb-15,62.75,-8.03%
Mar-15,58.05,-7.49%
Apr-15,52.28,-9.94%
May-15,60.3,15.34%
Jun-15,62.63,3.86%
Jul-15,52.39,-16.35%
Aug-15,56.19,7.25%
Sep-15,56.95,1.35%
Oct-15,53.12,-6.73%
Nov-15,46.86,-11.78%
Dec-15,40.5,-13.57%
Jan-16,41.88,3.41%
Feb-16,46.83,11.82%
Mar-16,56.2,20.01%
Apr-16,60.92,8.40%
May-16,55.13,-9.50%
Jun-16,51.98,-5.71%
Jul-16,57.26,10.16%
Aug-16,60.89,6.34%
Sep-16,57.79,-5.09%
Oct-16,59.09,2.25%
Nov-16,73.1,23.71%
Dec-16,80.02,9.47%
Jan-17,80.41,0.49%
Feb-17,89.44,11.23%
Mar-17,87.65,-2.00%
Apr-17,70.22,-19.89%
May-17,62.43,-11.09%
Jun-17,57.48,-7.93%
Jul-17,67.74,17.85%
Aug-17,76.07,12.30%
Sep-17,71.53,-5.97%
Oct-17,61.66,-13.80%
Nov-17,64.24,4.18%
Dec-17,72.25,12.47%
Jan-18,76.34,5.66%
Feb-18,77.46,1.47%
Mar-18,70.35,-9.18%
Apr-18,65.75,-6.54%
May-18,66.1,0.53%
Jun-18,65.04,-1.60%
Jul-18,64.56,-0.74%
Aug-18,67.15,4.01%
Sep-18,68.44,1.92%
Oct-18,73.41,7.26%
Nov-18,73.26,-0.20%
Dec-18,69.15,-5.61%
Jan-19,76.16,10.14%